"Date","Team member","Tool","Model","Purpose","Brief task","Output used","Verification or adaptation","Related evidence"
"2026-08-05","Gabriel Raz","ChatGPT Web","GPT-5.6 Thinking","Planning; issue drafting","Issue #14: plan the OAuth/OIDC authentication foundation and acceptance criteria","Issue description; initial authentication investigation guidance","Reviewed and adapted the issue scope before implementation","evidence/ai/transcripts/gabriel-raz/2026-08-05-to-2026-08-06-issue-14-authentication-foundation.md; opening issue-planning portion; Issue #14"
"2026-08-05","Gabriel Raz","Codex","GPT-5","Planning; technical guidance; documentation; code assistance; testing guidance","Issue #14: compare providers and establish Firebase Authentication backend token validation","Provider comparison; ADR-002; Firebase Admin integration; protected identity endpoint; tests; emulator setup; architecture and security documentation","Reviewed and manually applied the changes; backend tests, builds, dependency audit and emulator proof completed","evidence/ai/transcripts/gabriel-raz/2026-08-05-to-2026-08-06-issue-14-authentication-foundation.md; provider-comparison and Firebase implementation portions; Issue #14; PR #24; commits f2241c4, 417c287, b7f28c5 and 96060ba"

"2026-08-06","Gabriel Raz","Codex","GPT-5","Planning; technical guidance; documentation; code assistance","Issue #14: replace the Firebase authentication foundation with Supabase Auth while retaining the protected identity endpoint and tests","Supabase authentication implementation; ADR-004; aligned setup, API, security, dependency and AI-evidence documentation","Reviewed and manually applied the changes; retained the protected endpoint and automated authentication tests; completed unauthenticated 401 and authenticated 200 hosted Supabase token proof; verified that no secrets were committed","evidence/ai/transcripts/gabriel-raz/2026-08-05-to-2026-08-06-issue-14-authentication-foundation.md; Supabase correction portion; Issue #14; PRs #24 and #34; commits 50a3cde, 86c1a4b, 67da3e8 and 8258b5d"
"2026-08-10","Gabriel Raz","Codex","GPT-5","Planning; technical guidance; code assistance; testing guidance; Git and Gitea guidance; authentication configuration","Issue #102: implement OAuth callback success, cancellation and provider-failure handling; add browser coverage; configure and manually validate development Google OAuth","OAuth callback route and user interface; redirect-target update; frontend and Playwright coverage; deterministic Playwright environment; Google and Supabase configuration guidance; Git and pull-request workflow guidance","Reviewed and manually applied the changes; frontend lint and typecheck passed; 32 frontend tests and 16 Playwright tests passed; live Google sign-in reached the account page and sign-out returned to the home page; client secrets and .env.local were not committed","evidence/ai/transcripts/gabriel-raz/2026-08-10-issue-102-oauth-callback-handling.md; Issue #102; PR #109; commits be6677a and 2a09c35; merge commit a102141"
"2026-08-10","Gabriel Raz","Codex","GPT-5","Code generation; testing; documentation; review","Consolidate the frontend authentication entry points into one Login or Sign up action while preserving the existing Supabase Google OAuth flow.","Frontend navigation and authentication-page updates; unit and Playwright test updates; authentication route documentation alignment.","Inspected the existing shared OAuth implementation before editing; ran the frontend unit suite, lint, typecheck, production build, relevant desktop/mobile Playwright assertions, formatting checks, git diff checks, and rendered desktop/mobile browser QA.","Current Codex task transcript, issue, Pull Request, and commit hash pending."
"2026-08-15","Gabriel Raz","Codex","GPT-5","Planning; code generation; database testing; documentation; review","Issue #43: reconcile and verify the application-account, role, approved-submitter, competition-scope, and update-timestamp database schema.","PostgreSQL updated-at migration and trigger; schema integration tests; database and testing documentation reconciliation; validation evidence.","Reviewed the previously merged #44 and #51 implementation, avoided changing existing applied migrations, added a focused forward and rollback migration, isolated mutating database tests in rollback transactions, and verified all 17 database tests plus the local non-database checks recorded in the issue #43 validation evidence.","evidence/ai/transcripts/gabriel-raz/2026-08-15-to-2026-08-16-continuous-project-session.md; Issue #43 implementation portion; evidence/ai/transcripts/gabriel-raz/2026-08-15-to-2026-08-16-continuous-project-session-oauth-scope-fork.md; shared Issue #43 implementation portion and OAuth-scope continuation; Issue #43; Pull Request #137; commits 3220b37, 15716ee and 8e7fe9f; merge commit e7e9841; evidence/validation/issue-43-account-schema.md."
"2026-08-15","Gabriel Raz","Codex","GPT-5","Investigation; documentation; review","Issue #86: audit active requirements and repository references for obsolete Firebase terminology.","Authentication terminology audit and validation evidence; confirmation that active requirements use Supabase Auth; identification of the provider-managed recovery decision for Issue #65.","Searched current code, documentation, live issues and architecture records; preserved intentional historical and comparative references; formatted the validation evidence and checked the final diff before human review.","evidence/ai/transcripts/gabriel-raz/2026-08-15-to-2026-08-16-continuous-project-session.md; Issue #86 audit portion; Issue #86; Pull Request #138; commit 7e33b71; merge commit 4694ccc; evidence/validation/issue-86-authentication-terminology-audit.md."
"2026-08-15","Gabriel Raz","Codex","GPT-5","Investigation; code generation; database testing; documentation; review","Issue #104: verify and complete exclusion of super-over innings from standard batting and bowling aggregates.","Centralized standard-innings repository boundary; reusable fixture-ingestion helper; PostgreSQL integration test using fixture 423788 and published scorecard figures; derivation, requirements and validation documentation.","Preserved attribution for the pre-existing Issue #52 implementation; verified the fixture contains two standard and two super-over innings; compared McCullum and Southee standard figures with published reports; proved the excluded database contributions would change both batting and bowling results; backend typecheck, lint, unit and database tests were run locally.","evidence/ai/transcripts/gabriel-raz/2026-08-15-to-2026-08-16-continuous-project-session.md; Issue #104 gap-analysis and handoff portion; implementation transcript pending; Issue #104; evidence/validation/issue-104-super-over-aggregates.md; Pull Request #139; commit ae76529; merge commit e94546e."
"2026-08-16","Gabriel Raz","Codex","GPT-5","Planning; code generation; security design; database and API testing; frontend testing; documentation; review","Issue #66: implement secure self-service account deletion while retaining anonymous cricket data and provenance.","ADR-006 and privacy policy; tombstone migration; recoverable backend Supabase Auth deletion workflow; shared contracts and OpenAPI; accessible account-page deletion interface; automated tests and validation evidence.","Inspected the live issue and repository architecture; used mocked Auth administration and placeholder browser configuration; integrated the latest main branch and verified the complete local repository check with 258 tests, all 29 PostgreSQL integration tests and 26 Playwright desktop and mobile scenarios; live disposable-identity acceptance testing remained pending; did not mutate a real identity or shared database.","evidence/ai/transcripts/gabriel-raz/2026-08-16-issue-66-secure-account-deletion.md; Issue #66; Pull Request #160; evidence/decisions/ADR-006-account-deletion-retention.md; evidence/validation/issue-66-account-deletion.md; commits 4950807, 397a4ce, 3eeb1c2, c5a3c3d, b0ebb90, 03b6ca1, bc84152, f0b25f3, 76ce389, 1c7df73, 67753df and aa65194; merge commit be803e2."
